Friday,MISDEMEANOR,451402	
Monday,FELONY,212458	
Sunday,MISDEMEANOR,379479	
Tuesday,FELONY,223859	
Wednesday,MISDEMEANOR,429783	
Friday,FELONY,247927	
Friday,VIOLATION,90703	
Saturday,VIOLATION,82324	
Thursday,FELONY,228195	
Thursday,MISDEMEANOR,423601	
Tuesday,MISDEMEANOR,416893	
Saturday,FELONY,220896	
Saturday,MISDEMEANOR,431367	
Sunday,VIOLATION,82402	
Tuesday,VIOLATION,89688	
Wednesday,FELONY,229967	
Wednesday,VIOLATION,90223	
Monday,MISDEMEANOR,378800	
Monday,VIOLATION,89586	
Sunday,FELONY,193240	
Thursday,VIOLATION,88992	
