QN45,2013,553	
BK31,2014,3207	
BK68,2014,2775	
BX01,2014,3097	
QN33,2014,711	
BK21,2015,2876	
BK58,2015,3091	
BX28,2015,2124	
QN23,2015,664	
SI99,2015,3	
BK26,2006,1454	
BX41,2006,5238	
MN13,2006,8423	
QN28,2006,4684	
BK61,2007,10309	
BX31,2007,1440	
MN03,2007,7792	
QN18,2007,1132	
QN63,2007,1868	
BK88,2008,2490	
QN08,2008,2641	
QN53,2008,2558	
BK76,2009,1417	
BX46,2009,1612	
QN41,2009,536	
SI35,2009,979	
BK76,2010,1378	
BX46,2010,1478	
QN41,2010,536	
SI35,2010,894	
BX36,2011,3787	
QN31,2011,3277	
QN68,2011,1706	
SI25,2011,730	
BK09,2012,838	
QN56,2012,1193	
BK44,2013,1148	
BX14,2013,5096	
MN31,2013,1870	
QN46,2013,1220	
BK32,2014,2944	
BK69,2014,2275	
BX39,2014,6243	
QN34,2014,2030	
SI28,2014,1602	
BX29,2015,1649	
BK27,2006,1343	
BK72,2006,805	
MN14,2006,2659	
QN29,2006,3827	
BK17,2007,3490	
BK99,2007,929	
MN04,2007,4170	
QN19,2007,1307	
BX22,2008,685	
BX59,2008,1923	
QN54,2008,3390	
SI11,2008,978	
SI48,2008,805	
BK40,2009,589	
BK77,2009,3240	
BX10,2009,1044	
MN19,2009,2589	
QN42,2009,724	
SI36,2009,1134	
BK40,2010,600	
BK77,2010,3218	
BX10,2010,1026	
MN19,2010,2491	
QN42,2010,628	
SI36,2010,1025	
BK30,2011,1107	
BX37,2011,2060	
MN09,2011,2609	
QN20,2012,4044	
QN57,2012,944	
SI14,2012,731	
BK45,2013,1947	
BK90,2013,2591	
MN32,2013,1517	
QN10,2013,1065	
QN47,2013,368	
BK33,2014,2165	
BX03,2014,1803	
MN20,2014,2443	
QN35,2014,1195	
BK23,2015,1005	
BX75,2015,1724	
QN25,2015,1460	
QN70,2015,3305	
BK28,2006,3339	
BK73,2006,2734	
BX43,2006,2794	
MN15,2006,4026	
SI32,2006,844	
BK63,2007,2518	
BX33,2007,2942	
MN50,2007,190	
SI22,2007,2959	
MN40,2008,2921	
QN55,2008,3895	
SI12,2008,2139	
BK41,2009,955	
BK78,2009,5049	
QN43,2009,769	
SI37,2009,2057	
BK41,2010,1113	
BK78,2010,5164	
QN43,2010,655	
SI37,2010,2349	
BK31,2011,3271	
BK68,2011,2574	
BX01,2011,2808	
QN33,2011,662	
BX26,2012,2594	
QN21,2012,1204	
BK46,2013,556	
BK91,2013,2732	
BX98,2013,1249	
MN33,2013,4554	
QN48,2013,483	
SI05,2013,1374	
BK34,2014,2354	
MN21,2014,1667	
MN11,2015,4664	
